"State_Code_Dest","County_Code_Dest","State_Code_Origin","County_Code_Origin","State_Abbrv","State_Name","Return_Num","Exmpt_Num","Aggr_AGI"
"00","000","96","000","US","US Total Mig - US & For","3169296","5951727","140477601"
"00","000","97","000","US","US Total Mig - US","2954985","5617081","135351214"
"00","000","98","000","US","US Total Mig - Foreign","214311","334646","5126387"
"01","000","96","000","AL","AL Total Mig - US & For","42484","89127","1577336"
"01","000","97","000","AL","AL Total Mig - US","40418","85283","1530707"
"01","000","98","000","AL","AL Total Mig - Foreign","2066","3844","46628"
"01","000","01","000","AL","AL Non-Migrants","1497168","3378396","61416356"
"01","000","13","000","GA","GEORGIA","6749","14185","259199"
"01","000","12","000","FL","FLORIDA","5721","11540","180290"
"01","000","47","000","TN","TENNESSEE","3169","6535","120403"
"01","000","28","000","MS","MISSISSIPPI","2798","5742","89952"
"01","000","48","000","TX","TEXAS","2652","5960","109069"
"01","000","57","000","FR","Foreign","2066","3844","46628"
"01","000","22","000","LA","LOUISIANA","1574","3424","59680"
"01","000","06","000","CA","CALIFORNIA","1556","3349","63393"
"01","000","37","000","NC","NORTH CAROLINA","1445","3031","57308"
"01","000","17","000","IL","ILLINOIS","1162","2411","48006"
"01","000","51","000","VA","VIRGINIA","1127","2506","53545"
"01","000","39","000","OH","OHIO","1044","2153","39882"
"01","000","36","000","NY","NEW YORK","959","1831","32243"
"01","000","26","000","MI","MICHIGAN","915","1863","33598"
"01","000","45","000","SC","SOUTH CAROLINA","791","1680","33361"
"01","000","21","000","KY","KENTUCKY","756","1749","27158"
"01","000","18","000","IN","INDIANA","681","1341","25138"
"01","000","29","000","MO","MISSOURI","589","1254","23434"
"01","000","42","000","PA","PENNSYLVANIA","504","1012","22993"
"01","000","05","000","AR","ARKANSAS","495","1114","19489"
"01","000","53","000","WA","WASHINGTON","478","1105","19719"
"01","000","08","000","CO","COLORADO","477","1013","19607"
"01","000","40","000","OK","OKLAHOMA","455","1035","17192"
"01","000","24","000","MD","MARYLAND","408","867","17638"
"01","000","34","000","NJ","NEW JERSEY","376","787","17127"
"01","000","04","000","AZ","ARIZONA","349","731","13171"
"01","000","20","000","KS","KANSAS","313","763","11481"
"01","000","55","000","WI","WISCONSIN","257","543","9426"
"01","000","25","000","MA","MASSACHUSETTS","233","446","10524"
"01","000","15","000","HI","HAWAII","197","526","7542"
"01","000","35","000","NM","NEW MEXICO","185","419","7173"
"01","000","02","000","AK","ALASKA","165","433","6319"
"01","000","54","000","WV","WEST VIRGINIA","165","356","6197"
"01","000","09","000","CT","CONNECTICUT","163","314","7305"
"01","000","19","000","IA","IOWA","162","350","7434"
"01","000","32","000","NV","NEVADA","160","331","6461"
"01","000","27","000","MN","MINNESOTA","154","317","6851"
"01","000","31","000","NE","NEBRASKA","135","309","5414"
"01","000","41","000","OR","OREGON","132","268","5618"
"01","000","49","000","UT","UTAH","132","343","7074"
"01","000","11","000","DC","DISTRICT OF COLUMBIA","68","129","3400"
"01","000","30","000","MT","MONTANA","67","143","2061"
"01","000","23","000","ME","MAINE","64","142","2591"
"01","000","10","000","DE","DELAWARE","63","160","2514"
"01","000","16","000","ID","IDAHO","63","155","1993"
"01","000","44","000","RI","RHODE ISLAND","60","116","2982"
"01","000","56","000","WY","WYOMING","60","127","1689"
"01","000","33","000","NH","NEW HAMPSHIRE","57","110","2020"
"01","000","38","000","ND","NORTH DAKOTA","56","115","1767"
"01","000","46","000","SD","SOUTH DAKOTA","45","86","1489"
"01","000","50","000","VT","VERMONT","32","64","788"
"02","000","96","000","AK","AK Total Mig - US & For","13238","26160","412047"
"02","000","97","000","AK","AK Total Mig - US","12649","24927","395902"
"02","000","98","000","AK","AK Total Mig - Foreign","589","1233","16146"
"02","000","02","000","AK","AK Non-Migrants","204026","456384","10656520"
"02","000","53","000","WA","WASHINGTON","1486","2828","40891"
"02","000","06","000","CA","CALIFORNIA","1388","2627","42600"
"02","000","48","000","TX","TEXAS","830","1781","29913"
"02","000","41","000","OR","OREGON","700","1319","20711"
"02","000","12","000","FL","FLORIDA","589","1210","18730"
"02","000","57","000","FR","Foreign","589","1233","16146"
"02","000","08","000","CO","COLORADO","458","858","15096"
"02","000","04","000","AZ","ARIZONA","443","845","14783"
"02","000","37","000","NC","NORTH CAROLINA","381","852","9986"
"02","000","30","000","MT","MONTANA","339","625","10168"
"02","000","13","000","GA","GEORGIA","316","700","13883"
"02","000","51","000","VA","VIRGINIA","311","714","12372"
"02","000","16","000","ID","IDAHO","303","592","8708"
"02","000","36","000","NY","NEW YORK","301","491","8156"
"02","000","27","000","MN","MINNESOTA","248","413","6790"
"02","000","26","000","MI","MICHIGAN","239","423","6900"
"02","000","35","000","NM","NEW MEXICO","223","469","7457"
"02","000","32","000","NV","NEVADA","222","464","7784"
"02","000","40","000","OK","OKLAHOMA","222","476","7365"
"02","000","17","000","IL","ILLINOIS","218","371","6526"
"02","000","49","000","UT","UTAH","218","465","7144"
"02","000","39","000","OH","OHIO","214","372","6082"
"02","000","15","000","HI","HAWAII","213","440","6934"
"02","000","42","000","PA","PENNSYLVANIA","188","318","5936"
"02","000","55","000","WI","WISCONSIN","184","304","5649"
"02","000","01","000","AL","ALABAMA","161","378","4961"
"02","000","29","000","MO","MISSOURI","151","319","4239"
"02","000","22","000","LA","LOUISIANA","148","322","4447"
"02","000","47","000","TN","TENNESSEE","146","300","4897"
"02","000","25","000","MA","MASSACHUSETTS","134","209","3838"
"02","000","45","000","SC","SOUTH CAROLINA","134","303","3662"
"02","000","24","000","MD","MARYLAND","127","249","4273"
"02","000","18","000","IN","INDIANA","115","203","4200"
"02","000","56","000","WY","WYOMING","112","235","4208"
"02","000","05","000","AR","ARKANSAS","110","233","2845"
"02","000","34","000","NJ","NEW JERSEY","106","184","2836"
"02","000","20","000","KS","KANSAS","104","224","3319"
"02","000","21","000","KY","KENTUCKY","101","239","3199"
"02","000","28","000","MS","MISSISSIPPI","97","230","2784"
"02","000","46","000","SD","SOUTH DAKOTA","96","233","2969"
"02","000","38","000","ND","NORTH DAKOTA","89","202","3068"
"02","000","31","000","NE","NEBRASKA","83","185","2767"
"02","000","23","000","ME","MAINE","82","151","2601"
"02","000","19","000","IA","IOWA","72","141","2185"
"02","000","33","000","NH","NEW HAMPSHIRE","66","103","1954"
"02","000","09","000","CT","CONNECTICUT","51","92","1957"
"02","000","50","000","VT","VERMONT","47","75","1181"
"02","000","54","000","WV","WEST VIRGINIA","28","60","1048"
"02","000","10","000","DE","DELAWARE","23","52","671"
"02","000","44","000","RI","RHODE ISLAND","21","32","704"
"02","000","11","000","DC","DISTRICT OF COLUMBIA","11","16","529"
"04","000","96","000","AZ","AZ Total Mig - US & For","100372","191560","4563811"
"04","000","97","000","AZ","AZ Total Mig - US","96503","185055","4472186"
"04","000","98","000","AZ","AZ Total Mig - Foreign","3869","6505","91624"
"04","000","04","000","AZ","AZ Non-Migrants","1583562","3528065","75017500"
"04","000","06","000","CA","CALIFORNIA","18812","38203","836336"
"04","000","48","000","TX","TEXAS","6770","14055","349284"
"04","000","17","000","IL","ILLINOIS","5358","9715","329321"
"04","000","53","000","WA","WASHINGTON","5042","9491","240013"
"04","000","35","000","NM","NEW MEXICO","4675","10576","147377"
"04","000","08","000","CO","COLORADO","4400","8155","203993"
"04","000","57","000","FR","Foreign","3869","6505","91624"
"04","000","32","000","NV","NEVADA","3304","6392","128365"
"04","000","36","000","NY","NEW YORK","3096","5265","151615"
"04","000","12","000","FL","FLORIDA","3086","5462","132973"
"04","000","26","000","MI","MICHIGAN","2709","4754","124459"
"04","000","41","000","OR","OREGON","2639","4962","110538"
"04","000","39","000","OH","OHIO","2522","4347","114286"
"04","000","49","000","UT","UTAH","2432","5675","102963"
"04","000","27","000","MN","MINNESOTA","2066","3504","123180"
"04","000","42","000","PA","PENNSYLVANIA","2034","3470","96114"
"04","000","55","000","WI","WISCONSIN","1844","3088","94304"
"04","000","29","000","MO","MISSOURI","1650","3073","75795"
"04","000","18","000","IN","INDIANA","1619","2910","75772"
"04","000","34","000","NJ","NEW JERSEY","1388","2454","86871"
"04","000","51","000","VA","VIRGINIA","1367","2599","73342"
"04","000","19","000","IA","IOWA","1335","2255","54577"
"04","000","25","000","MA","MASSACHUSETTS","1285","2082","87641"
"04","000","13","000","GA","GEORGIA","1243","2457","66532"
"04","000","37","000","NC","NORTH CAROLINA","1228","2469","59581"
"04","000","20","000","KS","KANSAS","1201","2340","66853"
"04","000","40","000","OK","OKLAHOMA","1093","2284","38745"
"04","000","31","000","NE","NEBRASKA","1035","1888","46781"
"04","000","16","000","ID","IDAHO","970","1943","33236"
"04","000","24","000","MD","MARYLAND","867","1619","50086"
"04","000","30","000","MT","MONTANA","816","1418","25699"
"04","000","47","000","TN","TENNESSEE","805","1521","31988"
"04","000","02","000","AK","ALASKA","755","1502","34665"
"04","000","09","000","CT","CONNECTICUT","667","1166","43072"
"04","000","15","000","HI","HAWAII","621","1285","25759"
"04","000","56","000","WY","WYOMING","598","1107","20218"
"04","000","05","000","AR","ARKANSAS","541","1058","16354"
"04","000","22","000","LA","LOUISIANA","515","972","17518"
"04","000","46","000","SD","SOUTH DAKOTA","498","863","15586"
"04","000","21","000","KY","KENTUCKY","497","935","18444"
"04","000","45","000","SC","SOUTH CAROLINA","483","947","18217"
"04","000","01","000","AL","ALABAMA","428","853","16786"
"04","000","33","000","NH","NEW HAMPSHIRE","422","781","21861"
"04","000","38","000","ND","NORTH DAKOTA","391","740","14836"
"04","000","28","000","MS","MISSISSIPPI","341","677","11455"
"04","000","23","000","ME","MAINE","299","477","8800"
"04","000","50","000","VT","VERMONT","195","315","6898"
"04","000","54","000","WV","WEST VIRGINIA","173","308","5871"
"04","000","44","000","RI","RHODE ISLAND","160","255","6262"
"04","000","10","000","DE","DELAWARE","129","235","6259"
"04","000","11","000","DC","DISTRICT OF COLUMBIA","99","153","4702"
"05","000","96","000","AR","AR Total Mig - US & For","31141","65446","1088531"
"05","000","97","000","AR","AR Total Mig - US","30117","63769","1071492"
"05","000","98","000","AR","AR Total Mig - Foreign","1024","1677","17039"
"05","000","05","000","AR","AR Non-Migrants","864856","1955016","32507778"
"05","000","48","000","TX","TEXAS","5525","11801","193793"
"05","000","40","000","OK","OKLAHOMA","2899","6142","80245"
"05","000","29","000","MO","MISSOURI","2724","5771","79257"
"05","000","06","000","CA","CALIFORNIA","2057","4408","64523"
"05","000","47","000","TN","TENNESSEE","1802","3702","61869"
"05","000","22","000","LA","LOUISIANA","1456","3124","47404"
"05","000","17","000","IL","ILLINOIS","1392","2885","51199"
"05","000","12","000","FL","FLORIDA","1182","2391","60375"
"05","000","28","000","MS","MISSISSIPPI","1093","2358","34664"
"05","000","57","000","FR","Foreign","1024","1677","17039"
"05","000","20","000","KS","KANSAS","790","1754","27040"
"05","000","13","000","GA","GEORGIA","619","1328","24021"
"05","000","08","000","CO","COLORADO","560","1160","21634"
"05","000","37","000","NC","NORTH CAROLINA","520","1093","19301"
"05","000","01","000","AL","ALABAMA","506","1161","20742"
"05","000","26","000","MI","MICHIGAN","505","1100","16125"
"05","000","18","000","IN","INDIANA","468","989","15298"
"05","000","04","000","AZ","ARIZONA","467","979","14538"
"05","000","51","000","VA","VIRGINIA","426","887","17345"
"05","000","19","000","IA","IOWA","396","807","14644"
"05","000","53","000","WA","WASHINGTON","388","868","22784"
"05","000","39","000","OH","OHIO","387","799","5997"
"05","000","55","000","WI","WISCONSIN","385","772","12750"
"05","000","21","000","KY","KENTUCKY","327","746","10575"
"05","000","27","000","MN","MINNESOTA","284","599","14607"
"05","000","36","000","NY","NEW YORK","282","519","10977"
"05","000","35","000","NM","NEW MEXICO","252","516","8453"
"05","000","32","000","NV","NEVADA","226","448","6772"
"05","000","45","000","SC","SOUTH CAROLINA","225","453","8807"
"05","000","42","000","PA","PENNSYLVANIA","215","422","10459"
"05","000","31","000","NE","NEBRASKA","214","449","7816"
"05","000","41","000","OR","OREGON","193","397","5935"
"05","000","24","000","MD","MARYLAND","163","368","8847"
"05","000","34","000","NJ","NEW JERSEY","148","307","16069"
"05","000","15","000","HI","HAWAII","119","275","3513"
"05","000","02","000","AK","ALASKA","118","262","3691"
"05","000","49","000","UT","UTAH","98","237","4688"
"05","000","09","000","CT","CONNECTICUT","88","180","5914"
"05","000","25","000","MA","MASSACHUSETTS","81","148","3537"
"05","000","16","000","ID","IDAHO","78","180","2228"
"05","000","56","000","WY","WYOMING","67","148","11636"
"05","000","54","000","WV","WEST VIRGINIA","64","136","1714"
"05","000","30","000","MT","MONTANA","50","106","900"
"05","000","46","000","SD","SOUTH DAKOTA","48","87","1773"
"05","000","38","000","ND","NORTH DAKOTA","46","98","1325"
"05","000","33","000","NH","NEW HAMPSHIRE","44","96","2131"
"05","000","23","000","ME","MAINE","41","110","1347"
"05","000","10","000","DE","DELAWARE","31","77","1563"
"05","000","11","000","DC","DISTRICT OF COLUMBIA","24","35","9222"
"05","000","44","000","RI","RHODE ISLAND","24","48","614"
"05","000","50","000","VT","VERMONT","20","43","835"
"06","000","96","000","CA","CA Total Mig - US & For","251035","426328","11720148"
"06","000","97","000","CA","CA Total Mig - US","226256","388800","11094930"
"06","000","98","000","CA","CA Total Mig - Foreign","24779","37528","625218"
"06","000","06","000","CA","CA Non-Migrants","11120947","24804140","615337011"
"06","000","57","000","FR","Foreign","24779","37528","625218"
"06","000","48","000","TX","TEXAS","18104","33437","936546"
"06","000","53","000","WA","WASHINGTON","15489","28177","805682"
"06","000","04","000","AZ","ARIZONA","14465","26146","583645"
"06","000","36","000","NY","NEW YORK","13613","19763","892334"
"06","000","32","000","NV","NEVADA","11389","20467","442235"
"06","000","17","000","IL","ILLINOIS","11086","18328","633461"
"06","000","12","000","FL","FLORIDA","11020","18269","479582"
"06","000","41","000","OR","OREGON","10332","18241","386465"
"06","000","08","000","CO","COLORADO","8920","15297","439268"
"06","000","25","000","MA","MASSACHUSETTS","7079","10066","442244"
"06","000","51","000","VA","VIRGINIA","6805","12320","464928"
"06","000","42","000","PA","PENNSYLVANIA","5932","9199","320083"
"06","000","34","000","NJ","NEW JERSEY","5791","9685","429600"
"06","000","39","000","OH","OHIO","5768","9071","294458"
"06","000","15","000","HI","HAWAII","5536","10129","193336"
"06","000","26","000","MI","MICHIGAN","5164","8283","268452"
"06","000","13","000","GA","GEORGIA","5158","9246","279525"
"06","000","49","000","UT","UTAH","4774","9652","192533"
"06","000","37","000","NC","NORTH CAROLINA","4661","8554","202681"
"06","000","24","000","MD","MARYLAND","4058","6800","228195"
"06","000","29","000","MO","MISSOURI","3703","6397","154522"
"06","000","27","000","MN","MINNESOTA","3662","5840","225269"
"06","000","35","000","NM","NEW MEXICO","3151","5643","113161"
"06","000","18","000","IN","INDIANA","3020","4907","121536"
"06","000","09","000","CT","CONNECTICUT","2776","4422","249147"
"06","000","55","000","WI","WISCONSIN","2736","4232","113319"
"06","000","40","000","OK","OKLAHOMA","2641","4898","75909"
"06","000","47","000","TN","TENNESSEE","2526","4415","100974"
"06","000","22","000","LA","LOUISIANA","2390","4209","84271"
"06","000","20","000","KS","KANSAS","2282","4098","89474"
"06","000","16","000","ID","IDAHO","2246","4370","74556"
"06","000","19","000","IA","IOWA","1832","3120","69619"
"06","000","45","000","SC","SOUTH CAROLINA","1594","2876","56481"
"06","000","31","000","NE","NEBRASKA","1533","2812","59638"
"06","000","05","000","AR","ARKANSAS","1507","2884","42689"
"06","000","02","000","AK","ALASKA","1482","2770","49550"
"06","000","01","000","AL","ALABAMA","1441","2596","51172"
"06","000","30","000","MT","MONTANA","1436","2363","36480"
"06","000","21","000","KY","KENTUCKY","1406","2492","54639"
"06","000","11","000","DC","DISTRICT OF COLUMBIA","1313","1626","101510"
"06","000","28","000","MS","MISSISSIPPI","1040","1988","30915"
"06","000","33","000","NH","NEW HAMPSHIRE","1026","1562","55723"
"06","000","44","000","RI","RHODE ISLAND","749","1173","34013"
"06","000","23","000","ME","MAINE","725","1182","24303"
"06","000","56","000","WY","WYOMING","675","1166","21803"
"06","000","46","000","SD","SOUTH DAKOTA","534","898","27157"
"06","000","50","000","VT","VERMONT","452","643","17516"
"06","000","38","000","ND","NORTH DAKOTA","433","731","11940"
"06","000","10","000","DE","DELAWARE","432","717","19779"
"06","000","54","000","WV","WEST VIRGINIA","369","640","12613"
"08","000","96","000","CO","CO Total Mig - US & For","89244","165004","4204398"
"08","000","97","000","CO","CO Total Mig - US","85411","158143","4094824"
"08","000","98","000","CO","CO Total Mig - Foreign","3833","6861","109574"
"08","000","08","000","CO","CO Non-Migrants","1510544","3211880","82119060"
"08","000","06","000","CA","CALIFORNIA","11000","21769","654003"
"08","000","48","000","TX","TEXAS","8537","17797","442719"
"08","000","04","000","AZ","ARIZONA","4231","8073","169200"
"08","000","17","000","IL","ILLINOIS","3907","7177","256000"
"08","000","57","000","FR","Foreign","3833","6861","109574"
"08","000","12","000","FL","FLORIDA","3737","6527","171876"
"08","000","35","000","NM","NEW MEXICO","3013","5990","102693"
"08","000","36","000","NY","NEW YORK","2545","3952","121628"
"08","000","53","000","WA","WASHINGTON","2491","4928","136991"
"08","000","20","000","KS","KANSAS","2380","4680","107708"
"08","000","31","000","NE","NEBRASKA","2134","3868","87898"
"08","000","39","000","OH","OHIO","2124","3440","106006"
"08","000","56","000","WY","WYOMING","2014","3661","66868"
"08","000","29","000","MO","MISSOURI","1928","3416","88167"
"08","000","51","000","VA","VIRGINIA","1918","3613","150136"
"08","000","49","000","UT","UTAH","1858","4033","70390"
"08","000","27","000","MN","MINNESOTA","1852","2986","81779"
"08","000","26","000","MI","MICHIGAN","1813","2969","82775"
"08","000","42","000","PA","PENNSYLVANIA","1765","2731","74397"
"08","000","13","000","GA","GEORGIA","1656","3173","102131"
"08","000","40","000","OK","OKLAHOMA","1552","3062","57765"
"08","000","32","000","NV","NEVADA","1535","2866","57342"
"08","000","55","000","WI","WISCONSIN","1515","2440","63374"
"08","000","41","000","OR","OREGON","1513","2754","55989"
"08","000","19","000","IA","IOWA","1487","2470","54152"
"08","000","37","000","NC","NORTH CAROLINA","1439","2684","57424"
"08","000","18","000","IN","INDIANA","1198","2030","50445"
"08","000","25","000","MA","MASSACHUSETTS","1177","1686","56330"
"08","000","34","000","NJ","NEW JERSEY","1133","1901","90998"
"08","000","24","000","MD","MARYLAND","1089","1912","63869"
"08","000","30","000","MT","MONTANA","1028","1890","37302"
"08","000","47","000","TN","TENNESSEE","1024","1862","40400"
"08","000","22","000","LA","LOUISIANA","911","1737","31382"
"08","000","46","000","SD","SOUTH DAKOTA","766","1285","22259"
"08","000","16","000","ID","IDAHO","672","1331","22641"
"08","000","01","000","AL","ALABAMA","651","1286","24102"
"08","000","09","000","CT","CONNECTICUT","604","904","35988"
"08","000","15","000","HI","HAWAII","603","1174","19738"
"08","000","02","000","AK","ALASKA","576","1155","22732"
"08","000","21","000","KY","KENTUCKY","564","1035","22541"
"08","000","38","000","ND","NORTH DAKOTA","546","939","16239"
"08","000","05","000","AR","ARKANSAS","520","998","16064"
"08","000","45","000","SC","SOUTH CAROLINA","495","923","21136"
"08","000","33","000","NH","NEW HAMPSHIRE","346","533","15715"
"08","000","28","000","MS","MISSISSIPPI","342","647","20003"
"08","000","23","000","ME","MAINE","314","436","9761"
"08","000","50","000","VT","VERMONT","254","337","7047"
"08","000","11","000","DC","DISTRICT OF COLUMBIA","188","297","11619"
"08","000","54","000","WV","WEST VIRGINIA","177","343","6251"
"08","000","44","000","RI","RHODE ISLAND","159","243","6081"
"08","000","10","000","DE","DELAWARE","130","200","4773"
"09","000","96","000","CT","CT Total Mig - US & For","39333","70686","2715637"
"09","000","97","000","CT","CT Total Mig - US","36927","67201","2609565"
"09","000","98","000","CT","CT Total Mig - Foreign","2406","3485","106073"
"09","000","09","000","CT","CT Non-Migrants","1270081","2670644","87245246"
"09","000","36","000","NY","NEW YORK","9064","16615","833231"
"09","000","25","000","MA","MASSACHUSETTS","4234","6985","231682"
"09","000","12","000","FL","FLORIDA","3618","6758","206465"
"09","000","57","000","FR","Foreign","2406","3485","106073"
"09","000","34","000","NJ","NEW JERSEY","2064","3883","224498"
"09","000","06","000","CA","CALIFORNIA","2004","3522","170312"
"09","000","42","000","PA","PENNSYLVANIA","1458","2665","92546"
"09","000","51","000","VA","VIRGINIA","1113","2229","63510"
"09","000","44","000","RI","RHODE ISLAND","1075","1779","41053"
"09","000","48","000","TX","TEXAS","962","1880","64896"
"09","000","37","000","NC","NORTH CAROLINA","927","1700","50130"
"09","000","17","000","IL","ILLINOIS","840","1665","94978"
"09","000","13","000","GA","GEORGIA","754","1553","51099"
"09","000","39","000","OH","OHIO","653","1215","48781"
"09","000","24","000","MD","MARYLAND","648","1243","47388"
"09","000","33","000","NH","NEW HAMPSHIRE","597","1014","29977"
"09","000","45","000","SC","SOUTH CAROLINA","577","1038","18475"
"09","000","23","000","ME","MAINE","543","917","20484"
"09","000","53","000","WA","WASHINGTON","450","934","26173"
"09","000","26","000","MI","MICHIGAN","447","809","30119"
"09","000","08","000","CO","COLORADO","443","740","23972"
"09","000","04","000","AZ","ARIZONA","417","680","20085"
"09","000","50","000","VT","VERMONT","389","629","13175"
"09","000","18","000","IN","INDIANA","290","553","18436"
"09","000","47","000","TN","TENNESSEE","287","563","17508"
"09","000","55","000","WI","WISCONSIN","241","445","16660"
"09","000","27","000","MN","MINNESOTA","236","452","17732"
"09","000","29","000","MO","MISSOURI","228","419","15420"
"09","000","01","000","AL","ALABAMA","179","329","8954"
"09","000","22","000","LA","LOUISIANA","170","306","7716"
"09","000","32","000","NV","NEVADA","169","295","7489"
"09","000","41","000","OR","OREGON","157","257","8432"
"09","000","15","000","HI","HAWAII","152","363","5045"
"09","000","11","000","DC","DISTRICT OF COLUMBIA","148","190","9848"
"09","000","20","000","KS","KANSAS","140","278","12247"
"09","000","49","000","UT","UTAH","138","278","6307"
"09","000","19","000","IA","IOWA","132","246","5992"
"09","000","21","000","KY","KENTUCKY","129","251","9945"
"09","000","40","000","OK","OKLAHOMA","118","205","4923"
"09","000","35","000","NM","NEW MEXICO","115","192","4212"
"09","000","10","000","DE","DELAWARE","84","146","4529"
"09","000","31","000","NE","NEBRASKA","82","136","5878"
"09","000","54","000","WV","WEST VIRGINIA","82","160","4149"
"09","000","28","000","MS","MISSISSIPPI","81","150","2754"
"09","000","16","000","ID","IDAHO","73","143","2896"
"09","000","05","000","AR","ARKANSAS","69","135","4886"
"09","000","02","000","AK","ALASKA","47","86","1348"
"09","000","30","000","MT","MONTANA","39","64","1281"
"09","000","56","000","WY","WYOMING","29","40","788"
"10","000","96","000","DE","DE Total Mig - US & For","14352","26513","683674"
"10","000","97","000","DE","DE Total Mig - US","13848","25671","668494"
"10","000","98","000","DE","DE Total Mig - Foreign","504","842","15180"
"10","000","10","000","DE","DE Non-Migrants","286083","608495","15156758"
"10","000","42","000","PA","PENNSYLVANIA","3768","6785","171637"
"10","000","24","000","MD","MARYLAND","2618","4793","105139"
"10","000","34","000","NJ","NEW JERSEY","1500","2718","72149"
"10","000","36","000","NY","NEW YORK","849","1614","37203"
"10","000","12","000","FL","FLORIDA","641","1137","28917"
"10","000","51","000","VA","VIRGINIA","633","1220","31726"
"10","000","57","000","FR","Foreign","504","842","15180"
"10","000","37","000","NC","NORTH CAROLINA","387","750","17140"
"10","000","48","000","TX","TEXAS","345","724","19864"
"10","000","06","000","CA","CALIFORNIA","309","594","31554"
"10","000","39","000","OH","OHIO","217","447","12589"
"10","000","13","000","GA","GEORGIA","185","391","8819"
"10","000","17","000","IL","ILLINOIS","171","321","11652"
"10","000","25","000","MA","MASSACHUSETTS","167","294","8172"
"10","000","45","000","SC","SOUTH CAROLINA","135","269","6122"
"10","000","09","000","CT","CONNECTICUT","126","205","7795"
"10","000","47","000","TN","TENNESSEE","123","247","5848"
"10","000","26","000","MI","MICHIGAN","115","218","6210"
"10","000","04","000","AZ","ARIZONA","104","201","8191"
"10","000","08","000","CO","COLORADO","92","164","3736"
"10","000","53","000","WA","WASHINGTON","86","163","3153"
"10","000","11","000","DC","DISTRICT OF COLUMBIA","81","111","7961"
"10","000","29","000","MO","MISSOURI","79","143","3564"
"10","000","54","000","WV","WEST VIRGINIA","79","147","3312"
"10","000","18","000","IN","INDIANA","75","143","3324"
"10","000","40","000","OK","OKLAHOMA","69","160","2590"
"10","000","01","000","AL","ALABAMA","67","133","2430"
"10","000","21","000","KY","KENTUCKY","66","131","3122"
"10","000","55","000","WI","WISCONSIN","60","104","2515"
"10","000","22","000","LA","LOUISIANA","55","112","2053"
"10","000","23","000","ME","MAINE","50","86","2829"
"10","000","33","000","NH","NEW HAMPSHIRE","49","77","2203"
"10","000","19","000","IA","IOWA","41","73","2920"
"10","000","32","000","NV","NEVADA","39","69","1398"
"10","000","49","000","UT","UTAH","39","77","1089"
"10","000","44","000","RI","RHODE ISLAND","38","69","1307"
"10","000","28","000","MS","MISSISSIPPI","37","81","1203"
"10","000","50","000","VT","VERMONT","37","55","1092"
"10","000","27","000","MN","MINNESOTA","36","62","1765"
"10","000","20","000","KS","KANSAS","35","71","1832"
"10","000","05","000","AR","ARKANSAS","34","64","1221"
"10","000","15","000","HI","HAWAII","34","75","1123"
"10","000","02","000","AK","ALASKA","30","68","902"
"10","000","35","000","NM","NEW MEXICO","30","57","1437"
"10","000","41","000","OR","OREGON","27","48","1125"
"10","000","31","000","NE","NEBRASKA","26","52","1188"
"10","000","38","000","ND","NORTH DAKOTA","20","57","515"
"10","000","30","000","MT","MONTANA","14","28","13746"
"10","000","16","000","ID","IDAHO","10","25","343"
"10","000","46","000","SD","SOUTH DAKOTA","10","22","308"
"10","000","56","000","WY","WYOMING","10","16","459"
"11","000","96","000","DC","DC Total Mig - US & For","23881","34278","1082544"
"11","000","97","000","DC","DC Total Mig - US","21259","30854","1028287"
"11","000","98","000","DC","DC Total Mig - Foreign","2622","3424","54257"
"11","000","11","000","DC","DC Non-Migrants","198835","348363","10844448"
"11","000","24","000","MD","MARYLAND","6883","11705","307419"
"11","000","51","000","VA","VIRGINIA","4023","5794","219574"
"11","000","57","000","FR","Foreign","2622","3424","54257"
"11","000","36","000","NY","NEW YORK","1318","1657","146174"
"11","000","06","000","CA","CALIFORNIA","1098","1476","47049"
"11","000","42","000","PA","PENNSYLVANIA","697","804","26132"
"11","000","25","000","MA","MASSACHUSETTS","646","762","29513"
"11","000","12","000","FL","FLORIDA","609","786","24480"
"11","000","37","000","NC","NORTH CAROLINA","560","832","15872"
"11","000","48","000","TX","TEXAS","495","699","21977"
"11","000","34","000","NJ","NEW JERSEY","481","596","18380"
"11","000","17","000","IL","ILLINOIS","440","527","24365"
"11","000","13","000","GA","GEORGIA","372","531","16193"
"11","000","39","000","OH","OHIO","305","367","10827"
"11","000","26","000","MI","MICHIGAN","260","293","11459"
"11","000","09","000","CT","CONNECTICUT","233","271","10893"
"11","000","08","000","CO","COLORADO","198","276","7943"
"11","000","53","000","WA","WASHINGTON","182","236","7985"
"11","000","45","000","SC","SOUTH CAROLINA","171","250","4630"
"11","000","29","000","MO","MISSOURI","144","168","4311"
"11","000","27","000","MN","MINNESOTA","139","155","4855"
"11","000","47","000","TN","TENNESSEE","136","174","4940"
"11","000","04","000","AZ","ARIZONA","133","190","4906"
"11","000","18","000","IN","INDIANA","133","148","4783"
"11","000","22","000","LA","LOUISIANA","121","156","3563"
"11","000","55","000","WI","WISCONSIN","119","140","3993"
"11","000","41","000","OR","OREGON","105","132","4105"
"11","000","01","000","AL","ALABAMA","97","135","3473"
"11","000","10","000","DE","DELAWARE","89","107","3131"
"11","000","35","000","NM","NEW MEXICO","80","114","3625"
"11","000","21","000","KY","KENTUCKY","78","95","1911"
"11","000","15","000","HI","HAWAII","74","143","3293"
